phi,I
-0.02033898305084746,7.000000000000001e-09
-0.019491525423728815,8e-09
-0.01864406779661017,8.199999999999999e-09
-0.017796610169491526,6.8000000000000005e-09
-0.01694915254237288,4.6e-09
-0.016101694915254237,2.6e-09
-0.015254237288135596,1.5000000000000002e-09
-0.014406779661016951,2.4e-09
-0.013559322033898306,5e-09
-0.012711864406779662,8.9e-09
-0.011864406779661017,1.1000000000000001e-08
-0.011016949152542374,1.2500000000000001e-08
-0.01016949152542373,1.12e-08
-0.009322033898305085,1.08e-08
-0.00847457627118644,4.6e-09
-0.007627118644067798,2.7e-09
-0.006779661016949153,7.400000000000001e-09
-0.005932203389830508,1.2150000000000001e-08
-0.005084745762711863,4.9e-08
-0.004237288135593221,8.700000000000001e-08
-0.0033898305084745766,1.2500000000000002e-07
-0.0025423728813559316,1.5000000000000002e-07
-0.0016949152542372898,2.4500000000000004e-07
-0.0008474576271186449,2.55e-07
0.0,2.65e-07
0.0008474576271186449,2.55e-07
0.0016949152542372898,2.3500000000000003e-07
0.0025423728813559316,1.95e-07
0.0033898305084745766,1.4500000000000001e-07
0.004237288135593221,9.5e-08
0.005084745762711863,6.000000000000001e-08
0.005932203389830508,3.8e-08
0.006779661016949153,1.6e-08
0.007627118644067798,8.4e-09
0.008474576271186442,6.400000000000001e-09
0.009322033898305087,8.600000000000001e-09
0.010169491525423733,1.0500000000000001e-08
0.011016949152542371,1.2500000000000001e-08
0.011864406779661016,1.2500000000000001e-08
0.012711864406779662,1.0500000000000001e-08
0.013559322033898306,7.500000000000001e-09
0.014406779661016951,5.2e-09
0.015254237288135596,2.8e-09
0.01610169491525424,1.6000000000000003e-09
0.01694915254237288,1.4e-09
0.017796610169491526,1.8000000000000002e-09
0.01864406779661017,2.4e-09
0.019491525423728815,2.6e-09
0.02033898305084746,2.2000000000000003e-09
0.021186440677966104,1.6000000000000003e-09
0.02203389830508475,1e-09
